code,name,trades,win_rate,final_pnl,max_dd,avg_pnl
6323,ローツェ,10,50.0,37927,-2.78,3792
7483,ドウシシャ,18,66.7,37855,-1.74,2103
8345,岩手銀行,14,71.4,37736,-1.36,2695
2282,日本ハム,10,60.0,37688,-1.89,3768
8803,平和不動産,17,58.8,37642,-1.38,2214
9793,ダイセキ,7,71.4,37632,-1.56,5376
1938,日本リーテック,12,50.0,37605,-1.87,3133
1899,福田組,11,63.6,37506,-1.69,3409
268A,リガク・ホールディングス,7,71.4,37482,-1.98,5354
1885,東亜建設工業,12,50.0,37323,-1.55,3110
9381,エーアイテイー,12,66.7,37190,-1.17,3099
1719,安藤・間,9,77.8,36880,-0.3,4097
8011,三陽商会,9,77.8,36469,-1.1,4052
6455,モリタホールディングス,17,64.7,36459,-1.15,2144
5480,日本冶金工業,9,77.8,36457,-1.15,4050
7182,ゆうちょ銀行,9,66.7,36073,-0.68,4008
1861,熊谷組,8,62.5,36048,-0.58,4506
9991,ジェコス,14,71.4,36032,-0.5,2573
9790,福井コンピュータホールディングス,12,50.0,36023,-1.7,3001
1975,朝日工業社,9,55.6,35894,-2.28,3988
5981,東京製綱,13,69.2,35885,-2.16,2760
6368,オルガノ,11,63.6,35784,-3.48,3253
7389,あいちフィナンシャルグループ,12,75.0,35465,-0.94,2955
1964,中外炉工業,10,60.0,35235,-2.23,3523
7453,良品計画,9,55.6,35159,-1.84,3906
2768,双日,9,55.6,35078,-2.4,3897
1802,大林組,13,61.5,34959,-2.38,2689
6622,ダイヘン,5,80.0,34599,-1.34,6919
8331,千葉銀行,10,60.0,34554,-0.61,3455
4047,関東電化工業,10,60.0,34514,-1.03,3451
6460,セガサミーホールディングス,8,62.5,34511,-3.3,4313
8078,阪和興業,7,85.7,34216,-0.08,4888
9072,ニッコンホールディングス,8,75.0,34188,-0.93,4273
6804,ホシデン,12,75.0,34094,-1.66,2841
3038,神戸物産,6,83.3,34061,-1.21,5676
6963,ローム,8,62.5,33863,-3.19,4232
8337,千葉興業銀行,11,72.7,33759,-1.59,3069
3221,ヨシックスホールディングス,7,71.4,33689,-1.09,4812
5334,日本特殊陶業,18,50.0,33650,-1.96,1869
9531,東京瓦斯,7,57.1,33628,-0.97,4804
9984,ソフトバンクグループ,8,50.0,33029,-1.71,4128
6135,牧野フライス製作所,10,60.0,32698,-1.77,3269
9684,スクウェア・エニックス・ホールディングス,11,54.5,32694,-1.01,2972
8354,ふくおかフィナンシャルグループ,8,62.5,32607,-1.49,4075
6143,ソディック,14,64.3,32402,-0.8,2314
